cpg,coefficient
cg16113793,3.862548332
cg15970375,2.528262274
cg16057915,2.166077302
cg01503881,1.768139706
cg02650017,1.65518813
cg08174504,1.385116961
cg19613400,1.194822663
cg15537269,1.083021781
cg08033031,0.993051681
cg27078522,0.985226081
cg15804767,0.929505323
cg27118035,0.908717333
cg03440556,0.798785542
cg05926784,0.7958982
cg24011637,0.766586508
cg25215890,0.758911866
cg16298547,0.746899934
cg05322916,0.699208056
cg10785793,0.673698558
cg15348839,0.646053255
cg20060185,0.640179059
cg10747118,0.622537312
cg02402946,0.575473925
cg00107782,0.570320235
cg17301216,0.523569041
cg22857025,0.501258512
cg27020362,0.493123393
cg26516004,0.493021031
cg21376883,0.492244581
cg13215995,0.487301456
cg11145772,0.46878787
cg15020732,0.467599529
cg11745092,0.465055572
cg04900872,0.440557366
cg17132148,0.435111658
cg23263057,0.4183522
cg13676763,0.41305991
cg07872373,0.401222336
cg27530704,0.400226644
cg08619102,0.398160892
cg13690280,0.385162557
cg22904711,0.384194873
cg16145216,0.378257704
cg01225779,0.36997062
cg18199434,0.368487664
cg24713122,0.354416951
cg22378459,0.350765579
cg24748746,0.34147498
cg00356499,0.338179878
cg10941445,0.332015523
cg16340422,0.331893262
cg20115802,0.326657687
cg06982805,0.307427505
cg07279557,0.304601379
cg05922723,0.29990166
cg24060527,0.297542148
cg25477813,0.291472747
cg18349022,0.287779004
cg16453901,0.279690565
cg21261158,0.270650371
cg16111924,0.266678174
cg14107488,0.265795366
cg23305365,0.257639916
cg15632936,0.255496999
cg27526518,0.254394143
cg12500951,0.243714839
cg03497652,0.234209475
cg18805182,0.231168639
cg00829990,0.222897411
cg14728380,0.218115697
cg04794430,0.217847684
cg07178550,0.216302947
cg00052433,0.21534412
cg06135765,0.21345786
cg27619353,0.207985924
cg18996808,0.207700216
cg14330293,0.20513975
cg20705392,0.199623334
cg08793894,0.19389091
cg01756461,0.184832018
cg19349369,0.184782041
cg02215171,0.184448226
cg26821196,0.182671401
cg18538958,0.181813888
cg10071690,0.181738831
cg07907506,0.181506533
cg00495693,0.179916799
cg16315334,0.177868201
cg00650795,0.176909206
cg24647820,0.170578682
cg02756939,0.166649969
cg24246705,0.165815247
cg23934351,0.165604562
cg06871736,0.16477177
cg18229196,0.164701245
cg07014020,0.161646525
cg17681447,0.161286721
cg21809155,0.159486467
cg07482451,0.156960509
cg27531336,0.148568073
cg13105766,0.146251046
cg18032812,0.145463178
cg20169823,0.143276543
cg25256099,0.138449971
cg24517323,0.138086232
cg17740434,0.137424697
cg23771956,0.131393772
cg17275074,0.130000992
cg23365097,0.129119647
cg06091647,0.128325001
cg12394168,0.126528226
cg00791851,0.125794187
cg18697348,0.12348464
cg22451356,0.122691014
cg09074113,0.113281982
cg05864010,0.113118143
cg11637682,0.112815729
cg25312970,0.11234705
cg02403541,0.111459475
cg24672014,0.110751377
cg16536016,0.110351552
cg21075784,0.109297415
cg19311244,0.108740355
cg27088726,0.10547326
cg27370573,0.105364288
cg15971496,0.100285075
cg14724265,0.100111165
